riskId,affected_activity,mean_simulated,sd_simulated,var_simulated,mean_total_simulated,sd_total_simulated,var_total_simulated,riskMitigationCost,contigencyCost,impact
R1,"1,2",134.30427806433622,22.45626269552881,504.28373425059885,439.30427806433624,22.456262695528814,504.283734250599,4189.95,315099.64,102.30427806433624
R2,2,62.938300106655475,2.7865047574476622,7.7646087632784555,367.93830010665545,2.7865047574476676,7.764608763278484,2618.72,105033.21,30.938300106655447
R4,3.2,50.64068383777782,1.9882659458118488,3.9532014712750856,355.64068383777783,1.9882659458118523,3.9532014712751,9868.06,63019.93,18.64068383777783
R3,"3.3,3.4,4",48.61626629561727,4.639307437141852,21.523173496319703,353.61626629561727,4.639307437141863,21.523173496319796,11615.92,210066.43,16.616266295617265
R5,"3.9,4",40.09800880438157,2.258077936359286,5.098915966672613,345.0980088043816,2.2580779363592853,5.0989159666726085,5446.94,42013.29,8.098008804381607
