riskId,activityId,simulatedDuration,totalSimulatedDuration,riskMitigationCost,contigencyCost
R1,"1,2",118.33642197837932,423.33642197837935,4189.95,315099.64
R1,"1,2",121.89203469431814,426.8920346943181,4189.95,315099.64
R1,"1,2",151.57045882126823,456.57045882126823,4189.95,315099.64
R1,"1,2",147.080919556195,452.080919556195,4189.95,315099.64
R1,"1,2",130.15262192183962,435.1526219218396,4189.95,315099.64
R1,"1,2",169.9092904173144,474.9092904173144,4189.95,315099.64
R1,"1,2",163.10977779217563,468.10977779217563,4189.95,315099.64
R1,"1,2",106.81978519269587,411.81978519269586,4189.95,315099.64
R1,"1,2",127.08403380944084,432.0840338094408,4189.95,315099.64
R1,"1,2",144.1906649410053,449.1906649410053,4189.95,315099.64
R1,"1,2",155.59165604698433,460.5916560469843,4189.95,315099.64
R1,"1,2",127.12560645582519,432.12560645582516,4189.95,315099.64
R1,"1,2",167.311068032994,472.311068032994,4189.95,315099.64
R1,"1,2",148.32501092567134,453.32501092567134,4189.95,315099.64
R1,"1,2",122.7718953143397,427.7718953143397,4189.95,315099.64
R1,"1,2",166.84408944110106,471.84408944110106,4189.95,315099.64
R1,"1,2",144.15134961479214,449.15134961479214,4189.95,315099.64
R1,"1,2",145.7431182074964,450.7431182074964,4189.95,315099.64
R1,"1,2",101.21316991671011,406.2131699167101,4189.95,315099.64
R1,"1,2",149.57930172554344,454.5793017255435,4189.95,315099.64
R1,"1,2",123.9787420511532,428.9787420511532,4189.95,315099.64
R1,"1,2",161.72451703409274,466.72451703409274,4189.95,315099.64
R1,"1,2",128.14892448373604,433.14892448373604,4189.95,315099.64
R1,"1,2",130.78587216843354,435.78587216843357,4189.95,315099.64
R1,"1,2",128.94032297002462,433.9403229700246,4189.95,315099.64
R1,"1,2",110.63837463192375,415.63837463192374,4189.95,315099.64
R1,"1,2",143.20852071034102,448.208520710341,4189.95,315099.64
R1,"1,2",154.9988831711143,459.9988831711143,4189.95,315099.64
R1,"1,2",138.74341363136244,443.74341363136244,4189.95,315099.64
R1,"1,2",151.18447483664585,456.18447483664585,4189.95,315099.64
R1,"1,2",126.63933254151,431.63933254151,4189.95,315099.64
R1,"1,2",134.7183004965561,439.71830049655614,4189.95,315099.64
R1,"1,2",145.45072391215433,450.45072391215433,4189.95,315099.64
R1,"1,2",124.6065485640271,429.6065485640271,4189.95,315099.64
R1,"1,2",124.06239948325855,429.06239948325856,4189.95,315099.64
R1,"1,2",119.41574103267277,424.41574103267277,4189.95,315099.64
R1,"1,2",100.0601584988527,405.06015849885273,4189.95,315099.64
R1,"1,2",133.78186260062276,438.78186260062273,4189.95,315099.64
R1,"1,2",156.25094300980172,461.25094300980174,4189.95,315099.64
R1,"1,2",128.20550361148088,433.2055036114809,4189.95,315099.64
R1,"1,2",141.524584348289,446.524584348289,4189.95,315099.64
R1,"1,2",163.92237185940652,468.92237185940655,4189.95,315099.64
R1,"1,2",131.9163295405552,436.91632954055524,4189.95,315099.64
R1,"1,2",154.0906147951369,459.0906147951369,4189.95,315099.64
R1,"1,2",86.76084145064198,391.760841450642,4189.95,315099.64
R1,"1,2",127.10933986451518,432.10933986451516,4189.95,315099.64
R1,"1,2",134.32274170951078,439.32274170951075,4189.95,315099.64
R1,"1,2",135.4758799219796,440.47587992197964,4189.95,315099.64
R1,"1,2",133.09915844902054,438.09915844902054,4189.95,315099.64
R1,"1,2",113.0358992687859,418.0358992687859,4189.95,315099.64
R1,"1,2",145.64715758883892,450.6471575888389,4189.95,315099.64
R1,"1,2",128.08601269226926,433.08601269226926,4189.95,315099.64
R1,"1,2",113.16448006583371,418.1644800658337,4189.95,315099.64
R1,"1,2",156.55522083293386,461.55522083293386,4189.95,315099.64
R1,"1,2",130.679886206192,435.679886206192,4189.95,315099.64
R1,"1,2",132.46264176720052,437.4626417672005,4189.95,315099.64
R1,"1,2",103.46179593087179,408.4617959308718,4189.95,315099.64
R1,"1,2",116.9410861449559,421.9410861449559,4189.95,315099.64
R1,"1,2",86.56033918285442,391.5603391828544,4189.95,315099.64
R1,"1,2",146.8456742620937,451.84567426209367,4189.95,315099.64
R1,"1,2",131.6622921478692,436.6622921478692,4189.95,315099.64
R1,"1,2",126.38022590486358,431.38022590486355,4189.95,315099.64
R1,"1,2",158.36686805166937,463.36686805166937,4189.95,315099.64
R1,"1,2",113.5197274059586,418.51972740595863,4189.95,315099.64
R1,"1,2",155.45844851631497,460.458448516315,4189.95,315099.64
R1,"1,2",101.77884870069627,406.77884870069624,4189.95,315099.64
R1,"1,2",149.34615743086135,454.34615743086135,4189.95,315099.64
R1,"1,2",105.41149265569446,410.4114926556945,4189.95,315099.64
R1,"1,2",124.17559391631592,429.1755939163159,4189.95,315099.64
R1,"1,2",139.77363400109027,444.7736340010903,4189.95,315099.64
R1,"1,2",123.12348662693196,428.12348662693194,4189.95,315099.64
R1,"1,2",161.05443283071347,466.0544328307135,4189.95,315099.64
R1,"1,2",132.69091811966933,437.69091811966933,4189.95,315099.64
R1,"1,2",140.73921284491237,445.73921284491234,4189.95,315099.64
R1,"1,2",121.13744700535756,426.13744700535756,4189.95,315099.64
R1,"1,2",150.4328869540041,455.43288695400406,4189.95,315099.64
R1,"1,2",133.70557023001749,438.7055702300175,4189.95,315099.64
R1,"1,2",123.42754638370013,428.42754638370013,4189.95,315099.64
R1,"1,2",119.59325225498151,424.5932522549815,4189.95,315099.64
R1,"1,2",161.43127892951497,466.431278929515,4189.95,315099.64
R1,"1,2",126.46597596502883,431.46597596502886,4189.95,315099.64
R1,"1,2",124.84702549830422,429.8470254983042,4189.95,315099.64
R1,"1,2",131.24776047559027,436.24776047559027,4189.95,315099.64
R1,"1,2",123.54980183549253,428.54980183549253,4189.95,315099.64
R1,"1,2",141.3464789986409,446.3464789986409,4189.95,315099.64
R1,"1,2",129.09136531961673,434.0913653196167,4189.95,315099.64
R1,"1,2",160.3323058363156,465.33230583631564,4189.95,315099.64
R1,"1,2",112.21726977336434,417.21726977336436,4189.95,315099.64
R1,"1,2",144.12765739153045,449.1276573915304,4189.95,315099.64
R1,"1,2",141.09149468478765,446.0914946847877,4189.95,315099.64
R1,"1,2",175.00319679795717,480.0031967979572,4189.95,315099.64
R1,"1,2",106.97123771398594,411.97123771398594,4189.95,315099.64
R1,"1,2",105.58922482892177,410.5892248289218,4189.95,315099.64
R1,"1,2",99.2498293700469,404.2498293700469,4189.95,315099.64
R1,"1,2",139.4228452758939,444.4228452758939,4189.95,315099.64
R1,"1,2",153.0482599146864,458.0482599146864,4189.95,315099.64
R1,"1,2",167.04529785279013,472.0452978527901,4189.95,315099.64
R1,"1,2",97.47118754783945,402.47118754783946,4189.95,315099.64
R1,"1,2",147.7697364223102,452.7697364223102,4189.95,315099.64
R1,"1,2",137.75661590311768,442.7566159031177,4189.95,315099.64
R1,"1,2",116.90340195049018,421.9034019504902,4189.95,315099.64
R1,"1,2",156.95527223783847,461.95527223783847,4189.95,315099.64
R1,"1,2",110.00016463437362,415.0001646343736,4189.95,315099.64
R1,"1,2",140.38427786727144,445.3842778672714,4189.95,315099.64
R1,"1,2",141.58724954746287,446.5872495474629,4189.95,315099.64
R1,"1,2",130.50959612108892,435.5095961210889,4189.95,315099.64
R1,"1,2",134.58725202089758,439.5872520208976,4189.95,315099.64
R1,"1,2",120.92815688850752,425.9281568885075,4189.95,315099.64
R1,"1,2",129.09931434930988,434.0993143493099,4189.95,315099.64
R1,"1,2",152.10564372497885,457.10564372497885,4189.95,315099.64
R1,"1,2",148.4917118134971,453.4917118134971,4189.95,315099.64
R1,"1,2",126.25057466858313,431.2505746685831,4189.95,315099.64
R1,"1,2",163.3255518351502,468.32555183515024,4189.95,315099.64
R1,"1,2",130.81005682636325,435.8100568263633,4189.95,315099.64
R1,"1,2",144.01072216790075,449.0107221679008,4189.95,315099.64
R1,"1,2",98.1071393931931,403.1071393931931,4189.95,315099.64
R1,"1,2",149.8934160209268,454.8934160209268,4189.95,315099.64
R1,"1,2",162.1793540268755,467.1793540268755,4189.95,315099.64
R1,"1,2",106.73233134684426,411.73233134684426,4189.95,315099.64
R1,"1,2",158.16837902965082,463.16837902965085,4189.95,315099.64
R1,"1,2",147.27459300187613,452.27459300187616,4189.95,315099.64
R1,"1,2",153.58055954044931,458.5805595404493,4189.95,315099.64
R1,"1,2",133.02818394266768,438.0281839426677,4189.95,315099.64
R1,"1,2",150.28671032610703,455.286710326107,4189.95,315099.64
R1,"1,2",110.27941672878683,415.2794167287868,4189.95,315099.64
R1,"1,2",95.58653308308658,400.5865330830866,4189.95,315099.64
R1,"1,2",144.95835553343272,449.9583555334327,4189.95,315099.64
R1,"1,2",118.99608917942682,423.9960891794268,4189.95,315099.64
R1,"1,2",111.05872814216619,416.05872814216616,4189.95,315099.64
R1,"1,2",143.56278448019705,448.562784480197,4189.95,315099.64
R1,"1,2",143.1768857456955,448.1768857456955,4189.95,315099.64
R1,"1,2",136.81491555051815,441.81491555051815,4189.95,315099.64
R1,"1,2",154.35927810315343,459.35927810315343,4189.95,315099.64
R1,"1,2",144.98756138183464,449.98756138183467,4189.95,315099.64
R1,"1,2",132.39855464790634,437.39855464790634,4189.95,315099.64
R1,"1,2",106.18419297932849,411.1841929793285,4189.95,315099.64
R1,"1,2",145.99045487636988,450.9904548763699,4189.95,315099.64
R1,"1,2",154.17588736910866,459.17588736910864,4189.95,315099.64
R1,"1,2",160.4085459021801,465.4085459021801,4189.95,315099.64
R1,"1,2",109.14951331448097,414.14951331448094,4189.95,315099.64
R1,"1,2",119.2569766177626,424.2569766177626,4189.95,315099.64
R1,"1,2",98.79305869422528,403.7930586942253,4189.95,315099.64
R1,"1,2",135.1181997285948,440.1181997285948,4189.95,315099.64
R1,"1,2",110.4473355885406,415.44733558854057,4189.95,315099.64
R1,"1,2",131.1901224437424,436.19012244374244,4189.95,315099.64
R1,"1,2",142.58317385515895,447.583173855159,4189.95,315099.64
R1,"1,2",128.70055214189213,433.7005521418921,4189.95,315099.64
R1,"1,2",163.573374561612,468.573374561612,4189.95,315099.64
R1,"1,2",123.566372060113,428.566372060113,4189.95,315099.64
R1,"1,2",168.53481568705223,473.53481568705223,4189.95,315099.64
R1,"1,2",176.0001106111357,481.0001106111357,4189.95,315099.64
R1,"1,2",128.0202029659981,433.0202029659981,4189.95,315099.64
R1,"1,2",145.52697239975885,450.52697239975885,4189.95,315099.64
R1,"1,2",162.5619978028043,467.5619978028043,4189.95,315099.64
R1,"1,2",85.86640499451461,390.8664049945146,4189.95,315099.64
R1,"1,2",135.78605997898939,440.7860599789894,4189.95,315099.64
R1,"1,2",177.60383206456845,482.60383206456845,4189.95,315099.64
R1,"1,2",153.83724030319098,458.837240303191,4189.95,315099.64
R1,"1,2",130.65798739736516,435.65798739736516,4189.95,315099.64
R1,"1,2",97.05017813035572,402.05017813035573,4189.95,315099.64
R1,"1,2",154.9383520046695,459.93835200466947,4189.95,315099.64
R1,"1,2",94.10388634041983,399.1038863404198,4189.95,315099.64
R1,"1,2",153.5303486628589,458.5303486628589,4189.95,315099.64
R1,"1,2",94.17839833798072,399.17839833798075,4189.95,315099.64
