activityId,riskIds,originalDuration,mean_simulated
1,R1,10,13.999848787094976
4,"R2,R3",30,38.60431508269625
5,R5,10,15.136873776563615
6,"R2,R4",20,40.32148687387992
7,R3,20,20.867920605127992
8,"R2,R3",6,15.331741866138712
